ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,,Segment,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
400539,880,N,4,1,26000,11.05,21.277,37.572566,-122.045996,"(37.572566,-122.045996)",3440 - Decoto/84 NB,0.585,ML,5,PASEO PADRE PKWY,DT382,L5-N-33-880-01105,880203,426175
400574,880,N,4,1,68084,22.96,33.187,37.711717,-122.168258,"(37.711717,-122.168258)",N/A,0.35,ML,4,Marina Blvd rm-n-diag,DT700,L4-N-33-880-02296,998449,424762
400607,880,N,4,1,53000,28.65,38.877,37.77487,-122.232742,"(37.77487,-122.232742)",N/A,0.405,ML,4,oppo 29th Ave rm-s-diag,DTA38,L4-N-33-880-02865,998480,424810
400608,880,N,4,1,53000,25.59,35.817,37.741804,-122.197315,"(37.741804,-122.197315)",N/A,0.665,ML,5,Hegenberger Rd rm-n-diag,DT070,L5-N-33-880-02559,998467,426294
400611,880,N,4,1,33000,14.69,24.917,37.619533,-122.075651,"(37.619533,-122.075651)",3460 - Hesperian/238 NB,0.35,ML,4,Industrial Pkwy rm-n-diag,DTA23,L4-N-33-880-01469,998421,424732
400662,880,N,4,1,26000,6.18,16.407,37.522071,-121.986671,"(37.522071,-121.986671)",3430 - Mowry NB,0.785,ML,4,Stevenson Blvd rm-n-loop,DT997,L4-N-33-880-00618,998377,424660
400674,880,N,4,1,26000,10.49,20.717,37.565692,-122.040628,"(37.565692,-122.040628)",3440 - Decoto/84 NB,0.385,ML,4,Decoto Rd rm-n-diag,DTA14,L4-N-33-880-01049,998401,424702
400678,880,N,4,1,53000,27.53,37.757,37.764978,-122.217592,"(37.764978,-122.217592)",N/A,0.615,ML,4,oppo High St rm-s-diag,DTA62,L4-N-33-880-02753,998476,424798
400682,880,N,4,1,53000,29.1,39.327,37.779555,-122.237925,"(37.779555,-122.237925)",N/A,1.04,ML,4,23rd Ave rm-n-fly/diag,DTA40,L4-N-33-880-02910,998483,424822
400685,880,N,4,1,33000,17.48,27.707,37.654859,-122.100333,"(37.654859,-122.100333)",3460 - Hesperian/238 NB,0.275,ML,5,oppo Winton Ave on-s-coll/diag,DT670,L5-N-33-880-01748,881227,426210
400716,880,N,4,1,26000,9.03,19.257,37.54901,-122.02445,"(37.54901,-122.02445)",3440 - Decoto/84 NB,0.535,ML,4,Thornton Ave rm-n-diag,DTA04,L4-N-33-880-00903,998393,424690
400761,880,N,4,1,26000,7.13,17.357,37.529397,-122.001271,"(37.529397,-122.001271)",3430 - Mowry NB,0.495,ML,4,Mowry Ave rm-n-loop,DTA03,L4-N-33-880-00713,998381,424672
400765,880,N,4,1,53000,R33.8,44.027,37.811809,-122.303409,"(37.811809,-122.303409)",N/A,0.285,ML,4,1400' N of 7th St,DT630,L4-N-33-880-03380,999343,424858
400788,880,N,4,1,68084,20.82,31.047,37.691415,-122.138842,"(37.691415,-122.138842)",N/A,0.855,ML,4,NB 238/Washington Ave,DT698,L4-N-33-880-02082,998445,424756
400844,880,N,4,1,53000,34.8,45.027,37.822794,-122.291843,"(37.822794,-122.291843)",N/A,0.51,ML,2,W Grand Ave rm-n-diag,DT331,L2-N-33-880-03480,999339,417742
400898,880,N,4,1,33000,18.03,28.257,37.661989,-122.104729,"(37.661989,-122.104729)",3460 - Hesperian/238 NB,0.33,ML,5,2000' N of Winton Ave,DT395,L5-N-33-880-01803,880229,426224
400923,880,N,4,1,53000,R33.92,44.147,37.813142,-122.302137,"(37.813142,-122.302137)",N/A,0.5,ML,4,2000' N of 7th St/Grand Ave,DT357,L4-N-33-880-R3392,999345,424864
400928,880,N,4,1,33000,14.95,25.177,37.62282,-122.077983,"(37.62282,-122.077983)",3460 - Hesperian/238 NB,0.425,ML,5,oppo 2200' N of Industrial,DT388,L5-N-33-880-01495,881217,426203
400939,880,N,4,1,,18.72,28.947,37.670921,-122.110371,"(37.670921,-122.110371)",3460 - Hesperian/238 NB,0.28,ML,5,1900' N of A St,DT396,L5-N-33-880-01872,881233,426238
400949,880,N,4,1,53000,26.84,37.067,37.756731,-122.210399,"(37.756731,-122.210399)",N/A,0.97,ML,4,66th Ave/Coliseum Wy,DT720,L4-N-33-880-02684,998473,424792
400955,880,N,4,1,53000,24.84,35.067,37.732945,-122.189517,"(37.732945,-122.189517)",N/A,0.43,ML,5,98th Ave rm-n-diag,DTA35,L5-N-33-880-02484,998461,426287
400980,880,N,4,1,53000,31.42,41.647,37.797439,-122.271974,"(37.797439,-122.271974)",N/A,0.57,ML,4,Jackson St rm-n-diag,DT406,L4-N-33-880-03142,998489,424828
400983,880,N,4,1,53000,R33.35,43.577,37.805759,-122.303642,"(37.805759,-122.303642)",N/A,0.325,ML,3,oppo 7th St rm-s-diag,DT587,L3-N-33-880-R3335,881279,420732
400990,880,N,4,1,,19.68,29.907,37.680566,-122.123107,"(37.680566,-122.123107)",3460 - Hesperian/238 NB,0.295,ML,5,100' S of Paseo Grande,DT399,L5-N-33-880-01968,884233,426259
401003,880,N,4,1,33000,17.82,28.047,37.659267,-122.103058,"(37.659267,-122.103058)",3460 - Hesperian/238 NB,0.275,ML,5,Winton Ave rm-n-coll,DTA27,L5-N-33-880-01782,998433,426217
401011,880,N,4,1,26000,10.28,20.507,37.563362,-122.038123,"(37.563362,-122.038123)",3440 - Decoto/84 NB,0.295,ML,4,Decoto Rd rm-n-loop,DTA10,L4-N-33-880-01028,998397,424696
401062,880,N,4,1,26000,12,22.227,37.58562,-122.051459,"(37.58562,-122.051459)",3450 - Whipple NB,0.32,ML,4,N of Alameda Flood Control,DT384,L4-N-33-880-01200,881207,424714
401142,880,N,4,1,53000,32.31,42.537,37.802856,-122.286698,"(37.802856,-122.286698)",N/A,0.33,ML,4,Market / 5th St rm-s-diag,DTA48,L4-N-33-880-03231,880416,424846
401143,880,N,4,1,53000,R34.94,45.167,37.824713,-122.290947,"(37.824713,-122.290947)",N/A,0.927,ML,2,34th & Wood St,DT081,L2-N-33-880-R3494,880421,417746
401333,880,N,4,1,53000,32.1,42.327,37.801768,-122.283102,"(37.801768,-122.283102)",N/A,0.445,ML,4,Adeline St rm-s-diag,DT813,L4-N-33-880-03210,998886,424834
401517,880,N,4,1,68084,22.13,32.357,37.703862,-122.156797,"(37.703862,-122.156797)",N/A,0.84,ML,5,S of Marina Blvd,DT400,L5-N-33-880-02213,998983,426266
401529,880,N,4,1,26000,12.3,22.527,37.589488,-122.054221,"(37.589488,-122.054221)",3450 - Whipple NB,0.275,ML,4,Bet Alvarado/Niles & Alvarado,DT668,L4-N-33-880-01230,998981,424720
401545,880,N,4,1,26000,9.9,20.127,37.559198,-122.03362,"(37.559198,-122.03362)",3440 - Decoto/84 NB,0.625,ML,5,oppo S of Decoto Rd / Rt 84,DT380,L5-N-33-880-00990,883197,426168
401561,880,N,4,1,33000,14.25,24.477,37.614012,-122.071623,"(37.614012,-122.071623)",3460 - Hesperian/238 NB,0.455,ML,5,oppo North of Ward Creek,DT387,L5-N-33-880-01425,998982,426196
401613,880,N,4,1,26000,12.55,22.777,37.592711,-122.056527,"(37.592711,-122.056527)",3450 - Whipple NB,0.42,ML,4,oppo 2500' N of Alameda Creek,DT389,L4-N-33-880-01255,999102,424726
401629,880,N,4,1,68084,23.2,33.427,37.714115,-122.171416,"(37.714115,-122.171416)",N/A,0.195,ML,5,Williams St OC,DT001,L5-N-33-880-02320,883305,426280
401639,880,N,4,1,26000,4.8,15.027,37.508312,-121.968475,"(37.508312,-121.968475)",3430 - Mowry NB,0.76,ML,4,Auto Mall Pkwy rm-n-diag,DT982,L4-N-33-880-00480,883316,420090
401871,880,N,4,1,68084,22.5,32.727,37.707384,-122.161886,"(37.707384,-122.161886)",N/A,0.415,ML,5,oppo 200' N of Fairway/Aladdin,DT401,L5-N-33-880-02250,257,426273
401888,880,N,4,1,26000,8.43,18.657,37.541569,-122.018846,"(37.541569,-122.018846)",3440 - Decoto/84 NB,0.735,ML,5,500' N of Central Ave,DT103,L5-N-33-880-00843,101554,426161
402292,880,N,4,85,47766,9.8,9.8,37.445371,-121.920853,"(37.445371,-121.920853)",3420 - Auto Mall NB,1.1,ML,6,4A5324 loc 98,DS709,N6-N-37-880-00980,991126,425200
401643,880,N,4,1,47766,R.05,10.552,37.456422,-121.923067,"(37.456422,-121.923067)",3420 - Auto Mall NB,0.298,ML,5,Dixon Landing Rd rm-n-coll,DTB95,L5-N-33-880-R0005,883315,420727
402800,880,N,4,1,26000,R.55,11.052,37.463015,-121.925972,"(37.463015,-121.925972)",3420 - Auto Mall NB,0.627,ML,6,N of Dixon Landing Rd,DT563,L6-N-33-880-00055,998297,426133
402828,880,N,4,1,26000,R.9,11.402,37.467739,-121.928329,"(37.467739,-121.928329)",3420 - Auto Mall NB,0.55,ML,6,Dixon Landing and Gateway Blvd,DT364,L6-N-33-880-00090,998293,426140
407219,880,N,4,1,26000,R1.65,12.152,37.477872,-121.93334,"(37.477872,-121.93334)",3420 - Auto Mall NB,0.4,ML,6,S of Mission Blvd,DT949,L5-N-33-880-R0165,999418,437665
402789,880,N,4,1,26000,R1.7,12.202,37.478546,-121.93368,"(37.478546,-121.93368)",3420 - Auto Mall NB,0.187,ML,4,oppo Mission Blvd rm-s-fly,DT950,L4-N-33-880-R0170,999421,420048
408755,880,N,4,1,26000,2.3,12.527,37.482839,-121.936112,"(37.482839,-121.936112)",3420 - Auto Mall NB,0.227,ML,4,Warren Ave rm-n-loop,DT940,L4-N-33-880-00230,999423,420054
402802,880,N,4,1,26000,2.43,12.657,37.484332,-121.93758,"(37.484332,-121.93758)",3420 - Auto Mall NB,0.1,ML,5,N of Warren Ave,DT368,L5-N-33-880-00243,998299,426154
404746,880,N,4,1,53000,R32.76,42.987,37.802221,-122.294876,"(37.802221,-122.294876)",N/A,0.42,ML,4,Union St on-n-diag,DT808,L4-N-33-880-R3276,998866,444754
408756,880,N,4,1,26000,2.5,12.727,37.485075,-121.938463,"(37.485075,-121.938463)",3420 - Auto Mall NB,0.425,ML,4,Mission Blvd rm-n-diag,DT941,L4-N-33-880-00250,999424,420060
408133,880,N,4,1,33000,16.09,26.317,37.637181,-122.088255,"(37.637181,-122.088255)",3460 - Hesperian/238 NB,0.24,ML,5,N of Eldridge POC,DT391,L5-N-33-880-01609,881221,438687
408134,880,N,4,1,33000,17.27,27.497,37.652145,-122.09861,"(37.652145,-122.09861)",3460 - Hesperian/238 NB,0.34,ML,6,1200' N of Jackson St,DT394,L6-N-33-880-01727,880225,438707
408135,880,N,4,1,33000,16.28,26.507,37.639571,-122.089968,"(37.639571,-122.089968)",3460 - Hesperian/238 NB,0.235,ML,5,oppo 1000' S of Jackson/SR-92,DT633,L5-N-33-880-01628,999556,438721
408138,880,N,4,1,53000,30.96,41.187,37.794185,-122.264627,"(37.794185,-122.264627)",N/A,1.16,ML,4,Oak St off-n-diag,DT405,L4-N-33-880-03096,999558,438768
400189,880,N,4,1,26000,3.28,13.507,37.493107,-121.948928,"(37.493107,-121.948928)",3420 - Auto Mall NB,0.485,ML,4,Fremont Blvd rm-n-loop,DT993,L4-N-33-880-00328,998359,420066
400309,880,N,4,1,26000,3.47,13.697,37.495016,-121.951359,"(37.495016,-121.951359)",3420 - Auto Mall NB,0.375,ML,4,Fremont Blvd rm-n-diag,DT994,L4-N-33-880-00347,998361,420072
408907,880,N,4,85,,0.31,0.31,37.321822,-121.940425,"(37.321822,-121.940425)",N/A,0.425,ML,3,SB/NB 280 rm-n-fly/diag,DT596,L3-N-37-880-00031,999585,440151
410363,880,N,4,1,68084,24.03,34.257,37.723421,-122.180982,"(37.723421,-122.180982)",N/A,0.48,ML,4,RR UH,DT7A9,L4-N-33-880-02403,999689,440922
412637,880,N,4,1,33000,16.77,26.997,37.645749,-122.094355,"(37.645749,-122.094355)",3460 - Hesperian/238 NB,0.12,ML,4,SR 92 rm-n-fly,DT1B0,L4-N-33-880-01677,999761,442454
400417,880,N,4,1,26000,4.03,14.257,37.500569,-121.958606,"(37.500569,-121.958606)",3420 - Auto Mall NB,0.595,ML,4,oppo at the truck scales,DT924,L4-N-33-880-00403,999410,420078
417665,880,N,4,1,33000,16.56,26.787,37.6431,-122.092479,"(37.6431,-122.092479)",3460 - Hesperian/238 NB,0.245,ML,4,oppo EB 92 rm-s-diag,DT764,L4-N-33-880-01656,998428,443950
417666,880,N,4,1,33000,16.8,27.027,37.646129,-122.094618,"(37.646129,-122.094618)",3460 - Hesperian/238 NB,0.25,ML,4,Jackson St rm-n-diag,DT763,L4-N-33-880-01680,998429,443970
422357,880,N,4,85,68000,3.61,3.61,37.35866,-121.906756,"(37.35866,-121.906756)",N/A,0.255,ML,3,N 1st St rm-n-diag,DT039,L3-N-37-880-00361,999887,446531
422359,880,N,4,85,68000,5.27,5.27,37.380936,-121.904008,"(37.380936,-121.904008)",N/A,0.5,ML,4,Brokaw Rd rm-n-loop,DT2A0,L4-N-37-880-00527,999890,446566
400249,880,N,4,1,26000,4.66,14.887,37.506892,-121.966671,"(37.506892,-121.966671)",3420 - Auto Mall NB,0.385,ML,4,Auto Mall Pkwy rm-n-loop,DT995,L4-N-33-880-00466,998365,420084
